udp.stream,frame.number,dns.id,dns.qry.name,dns.resp.name,dns.resp.type,dns.a,dns.aaaa
28,5384,0x00008453,lh3.googleusercontent.com,lh3.googleusercontent.com;googlehosted.l.googleusercontent.com,5;28,,2404:6800:4002:80d::2001
29,5666,0x0000cc6a,ssl.gstatic.com,ssl.gstatic.com,1,172.217.167.3,
30,5667,0x000023a6,lh3.googleusercontent.com,lh3.googleusercontent.com;googlehosted.l.googleusercontent.com,5;1,172.217.31.1,
31,5681,0x0000529e,github.com,github.com,1,13.234.210.38,
32,5682,0x0000502a,github.com,github.com,6,,
34,7318,0x00007490,github.githubassets.com,githubassets.com,6,,
33,7319,0x00004761,github.githubassets.com,github.githubassets.com;github.githubassets.com;github.githubassets.com;github.githubassets.com,1;1;1;1,185.199.109.154;185.199.108.154;185.199.111.154;185.199.110.154,
35,8123,0x000061f3,avatars3.githubusercontent.com,avatars3.githubusercontent.com;github.map.fastly.net,5;1,199.232.20.133,
36,8126,0x0000a25e,avatars0.githubusercontent.com,avatars0.githubusercontent.com;github.map.fastly.net,5;1,199.232.20.133,
37,8132,0x000017b8,avatars0.githubusercontent.com,avatars0.githubusercontent.com;fastly.net,5;6,,
37,8133,0x000017b8,avatars0.githubusercontent.com,avatars0.githubusercontent.com;fastly.net,5;6,,
38,8150,0x000017b8,avatars0.githubusercontent.com,avatars0.githubusercontent.com,5,,
36,8153,0x0000a25e,avatars0.githubusercontent.com,avatars0.githubusercontent.com;github.map.fastly.net,5;1,199.232.20.133,
36,8154,0x0000a25e,avatars0.githubusercontent.com,avatars0.githubusercontent.com;github.map.fastly.net,5;1,199.232.20.133,
40,8155,0x0000f543,github.map.fastly.net,,,,
39,8416,0x000020a7,avatars3.githubusercontent.com,avatars3.githubusercontent.com;fastly.net,5;6,,
45,8440,0x0000bee8,github.map.fastly.net,,,,
41,8512,0x0000fa07,live.github.com,live.github.com,1,140.82.113.25,
42,8515,0x0000833c,live.github.com,github.com,6,,
42,8516,0x0000833c,live.github.com,github.com,6,,
43,8626,0x0000e806,www.google-analytics.com,www.google-analytics.com;www-google-analytics.l.google.com,5;1,172.217.166.238,
